ID,Resort,Latitude,Longitude,Country,Continent,Price,Season,Highest point,Lowest point,Beginner slopes,Intermediate slopes,Difficult slopes,Total slopes,Longest run,Snow cannons,Surface lifts,Chair lifts,Gondola lifts,Total lifts,Lift capacity,Child friendly,Snowparks,Nightskiing,Summer skiing
284,Toggenburg-Wildhaus-?Unterwasser-?Alt St. Johann,47.180949,9.32019222,Switzerland,Europe,52,December - April,2262,900,10,45,5,60,7,55,18,3,4,25,19956,Yes,Yes,Yes,No
287,Saint Luc-?Chandolin-Anniviers-,46.236536,7.627631245,Switzerland,Europe,47,December - April,3025,1655,20,30,10,60,0,104,11,3,1,15,10350,Yes,Yes,No,No
290,Leysin,46.3438701,7.0148403,Switzerland,Europe,45,December - April,2205,1250,43,15,2,60,0,72,8,7,1,16,12980,Yes,Yes,No,No
296,Eggli-?La Videmanette-Gstaad-?Saanen-?Rougemont,47.291778,9.1733641,Switzerland,Europe,54,December - March,2151,992,35,17,5,57,0,0,8,4,5,17,15363,Yes,No,No,No
297,Anze?re,46.2970711,7.3989488,Switzerland,Europe,46,December - April,2420,1500,12,37,9,58,0,120,10,3,1,14,12462,Yes,Yes,No,No
307,Lauchernalp-Lo?tschental,46.41274665,7.774925326,Switzerland,Europe,48,April,3111,1419,20,17,18,55,10,28,2,2,2,6,6800,Yes,Yes,No,No
308,Grossglockner Heiligenblut,47.0745464,12.6938826,Austria,Europe,44,December - April,2989,1301,20,34,1,55,7,60,8,1,4,13,12500,Yes,No,No,No
309,Brandnertal-Brand-?Bu?rserberg,47.119176,9.7578764,Austria,Europe,46,December - April,2000,904,22,30,3,55,5,82,6,6,3,15,18963,Yes,Yes,Yes,No
317,First-Grindelwald,46.6504815,8.065073279,Switzerland,Europe,55,December - March,2501,1050,30,15,8,53,6,38,3,3,3,9,12720,Yes,Yes,No,No
318,So?renberg-Rothorn-?Dorf,46.8221657,8.0349311,Switzerland,Europe,44,December - April,2350,1110,30,15,8,53,0,0,12,3,2,17,20930,Yes,Yes,Yes,No
325,Schilthorn-Mu?rren-?Lauterbrunnen,46.55744425,7.892432481,Switzerland,Europe,55,December - April,2970,796,19,23,9,51,15,38,3,7,6,16,13852,Yes,Yes,No,No
326,Dachstein West,47.5149184,13.4498696,Austria,Europe,42,December - April,1620,780,15,33,3,51,4,163,25,8,3,36,32938,Yes,Yes,Yes,No
329,Brigels-?Waltensburg-?Andiast,46.7700497,9.067384,Switzerland,Europe,49,December - March,2418,1110,13,33,3,49,7,100,9,4,0,13,10030,Yes,Yes,Yes,No
332,Sedrun-Oberalp,46.6652022,8.704905479,Switzerland,Europe,53,November - April,2300,1500,10,35,5,50,3,0,7,5,0,12,12100,Yes,Yes,No,No
333,Grosseck-?Speiereck-Mauterndorf-?St. Michael,47.1217604,13.64406919,Austria,Europe,41,December - April,2400,1095,26,17,7,50,8,150,6,4,2,12,14286,Yes,No,Yes,No
337,Mythenregion,47.0217081,8.723539208,Switzerland,Europe,39,December - March,1070,573,18,31,1,50,0,55,11,0,4,15,12592,Yes,Yes,No,No
339,Zugspitze,47.421215,10.986297,Germany,Europe,45,May,2000,700,7,13,0,20,2,0,4,2,4,10,13150,Yes,No,No,No
348,Steinplatte-?Winklmoosalm-Waidring-?Reit im Winkl,48.7329198,15.5705666,Austria,Europe,46,November - April,1860,740,18,22,2,42,12,107,3,9,2,14,31940,Yes,Yes,No,No
350,Rigi,47.0567184,8.4853157,Switzerland,Europe,44,Unknown,1315,439,4,4,0,8,0,0,4,0,3,7,6500,Yes,No,No,No
363,Kreischberg,47.0634486,14.03933,Austria,Europe,44,December - April,2118,868,17,16,9,42,7,110,7,4,3,14,18808,Yes,Yes,No,No
364,Garmisch-Classic-Garmisch-Partenkirchen,47.4596073,11.07616628,Germany,Europe,43,December - April,2050,732,12,18,10,40,8,0,11,4,4,19,21090,Yes,Yes,No,No
366,Pizol-Bad Ragaz-?Wangs,46.979739,9.436717,Switzerland,Europe,51,December - April,510,490,14,21,8,43,9,62,5,4,2,11,12786,Yes,Yes,Yes,No
370,Fellhorn-?Kanzelwand-Oberstdorf-?Riezlern,47.6099906,12.5088699,Austria,Europe,45,December - April,1967,920,13,19,2,34,4,110,7,6,4,17,22076,Yes,Yes,Yes,No
372,Großglockner Resort Kals-Matrei,47.009935,12.6232,Austria,Europe,47,December - April,2422,933,8,22,6,36,7,0,9,5,3,17,18276,Yes,Yes,No,No
375,Gerlitzen,46.69476,13.9143318,Austria,Europe,45,December - April,1000,520,10,27,3,40,7,120,10,7,1,18,22220,Yes,Yes,No,No
377,Melchsee-Frutt-Kerns-,46.77452445,8.271634234,Switzerland,Europe,44,December - April,2255,1080,20,6,10,36,0,110,5,4,2,11,14150,Yes,Yes,Yes,No
381,Les Mosses-?La Le?cherette,46.3960939,7.1018391,Switzerland,Europe,31,December - April,1870,1445,10,30,0,40,0,0,14,0,0,14,10540,Yes,No,No,No
